unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1705881600000,2024-01-22 0:00:00,ETH/USD,2462.5,2467.5,2456.9,2458.4,66445.82833,27.02807856
1705795200000,2024-01-21 0:00:00,ETH/USD,2475.8,2486.7,2456.5,2458,2735118.978,1112.741651
1705708800000,2024-01-20 0:00:00,ETH/USD,2493.4,2494,2457.6,2473.3,6360948.065,2571.846547
1705622400000,2024-01-19 0:00:00,ETH/USD,2470.9,2507.6,2418.6,2494.1,21877529.81,8771.713169
1705536000000,2024-01-18 0:00:00,ETH/USD,2530.4,2549.1,2428.6,2471,11982258.44,4849.153557
1705449600000,2024-01-17 0:00:00,ETH/USD,2588.6,2593.9,2508,2530.8,14276867.61,5641.246882
1705363200000,2024-01-16 0:00:00,ETH/USD,2512.2,2616.7,2497.2,2586.7,9258615.724,3579.315624
1705276800000,2024-01-15 0:00:00,ETH/USD,2474.6,2552.5,2472.1,2514.6,7216566.54,2869.866595
1705190400000,2024-01-14 0:00:00,ETH/USD,2577.5,2578.5,2468.7,2472.7,9083755.502,3673.61811
1705104000000,2024-01-13 0:00:00,ETH/USD,2527,2589,2498.2,2576.2,14510468.41,5632.508505
1705017600000,2024-01-12 0:00:00,ETH/USD,2618.5,2715.9,2457.3,2524,44828193.88,17760.77412
1704931200000,2024-01-11 0:00:00,ETH/USD,2583.3,2685.9,2562.3,2620,68541995.41,26161.06695
1704844800000,2024-01-10 0:00:00,ETH/USD,2344.5,2635.1,2340.4,2580.4,88572652.94,34325.16391
1704758400000,2024-01-09 0:00:00,ETH/USD,2333,2371.5,2226.7,2344.1,29532658.71,12598.71964
1704672000000,2024-01-08 0:00:00,ETH/USD,2223.6,2359.6,2168.4,2333,16860267.76,7226.86145
1704585600000,2024-01-07 0:00:00,ETH/USD,2242.9,2260,2206.6,2224.1,4244351.478,1908.345613
1704499200000,2024-01-06 0:00:00,ETH/USD,2271.6,2272.9,2218.5,2242,7471393.247,3332.467996
1704412800000,2024-01-05 0:00:00,ETH/USD,2271,2279.5,2209.5,2270.1,9349167.261,4118.394459
1704326400000,2024-01-04 0:00:00,ETH/USD,2211.3,2298.4,2204.7,2270.8,14136977.71,6225.549459
1704240000000,2024-01-03 0:00:00,ETH/USD,2358.2,2387.1,2097.4,2211.8,48286611.15,21831.36412
1704153600000,2024-01-02 0:00:00,ETH/USD,2352.7,2431.9,2340,2356.7,30413792.23,12905.24557
1704067200000,2024-01-01 0:00:00,ETH/USD,2286.5,2352.6,2269.5,2352.5,12327856.1,5240.321404
1703980800000,2023-12-31 0:00:00,ETH/USD,2294,2323.7,2260,2284.9,4852120.647,2123.559301
1703894400000,2023-12-30 0:00:00,ETH/USD,2299.7,2324.7,2271.3,2293.5,6334852.154,2762.08945
1703808000000,2023-12-29 0:00:00,ETH/USD,2346.5,2388.6,2258.1,2302.7,13958383.24,6061.746314
1703721600000,2023-12-28 0:00:00,ETH/USD,2380.7,2447.1,2337.1,2348,46217694.93,19683.85644
1703635200000,2023-12-27 0:00:00,ETH/USD,2233.1,2393.5,2215.3,2379.6,35744898.99,15021.38972
1703548800000,2023-12-26 0:00:00,ETH/USD,2274.2,2277,2182,2234,10435532.3,4671.232006
1703462400000,2023-12-25 0:00:00,ETH/USD,2267.1,2308.4,2257.3,2275,3948464.35,1735.588725
1703376000000,2023-12-24 0:00:00,ETH/USD,2312.6,2325.2,2248.1,2267.1,5932006.186,2616.561328
1703289600000,2023-12-23 0:00:00,ETH/USD,2329.7,2337.1,2269.2,2312.8,4374634.298,1891.488368
1703203200000,2023-12-22 0:00:00,ETH/USD,2242.3,2346.9,2233.1,2330,15095071.78,6478.571581
1703116800000,2023-12-21 0:00:00,ETH/USD,2201.6,2281.8,2187,2241.5,11783633.86,5257.030499
1703030400000,2023-12-20 0:00:00,ETH/USD,2180.1,2268,2160.2,2203.7,11607645.69,5267.343871
1702944000000,2023-12-19 0:00:00,ETH/USD,2220.7,2257.2,2138,2180.5,9245255.512,4239.970425
1702857600000,2023-12-18 0:00:00,ETH/USD,2198.1,2224.7,2118.2,2219.4,11300506.31,5091.694293
1702771200000,2023-12-17 0:00:00,ETH/USD,2232.3,2250,2192,2197.7,4943596.551,2249.44103
1702684800000,2023-12-16 0:00:00,ETH/USD,2223.9,2265.6,2213.5,2231.7,5137698.664,2302.145747
1702598400000,2023-12-15 0:00:00,ETH/USD,2317.5,2319.8,2201.6,2220.8,6817843.512,3069.994377
1702512000000,2023-12-14 0:00:00,ETH/USD,2262.1,2334.1,2229.5,2319.1,9753767.185,4205.84157
1702425600000,2023-12-13 0:00:00,ETH/USD,2204.5,2285.1,2147.8,2262.5,12136352.32,5364.133621
1702339200000,2023-12-12 0:00:00,ETH/USD,2226.3,2245,2166.7,2204.4,10222795.02,4637.450108
1702252800000,2023-12-11 0:00:00,ETH/USD,2353.6,2356.4,2137.8,2226.9,25062970.65,11254.64576
1702166400000,2023-12-10 0:00:00,ETH/USD,2342.5,2378.9,2324.5,2354.6,4845544.652,2057.905654
1702080000000,2023-12-09 0:00:00,ETH/USD,2359.2,2404.1,2330.5,2341.9,15076601.27,6437.76475
1701993600000,2023-12-08 0:00:00,ETH/USD,2356.5,2392.2,2336.4,2358.3,9821490.503,4164.648477
1701907200000,2023-12-07 0:00:00,ETH/USD,2235.3,2382.7,2224.2,2357.5,38785520.37,16451.97047
1701820800000,2023-12-06 0:00:00,ETH/USD,2295.5,2312.5,2222.4,2235.7,23855324.37,10670.18132
1701734400000,2023-12-05 0:00:00,ETH/USD,2241.4,2307.8,2186.1,2294.7,28580324.48,12454.92852
1701648000000,2023-12-04 0:00:00,ETH/USD,2192.1,2269,2191,2241.2,41530426.52,18530.44196
1701561600000,2023-12-03 0:00:00,ETH/USD,2163.9,2214.7,2146.8,2191.5,25811973.79,11778.22212
1701475200000,2023-12-02 0:00:00,ETH/USD,2087.2,2184,2087.1,2163.9,23781247.32,10989.99368
1701388800000,2023-12-01 0:00:00,ETH/USD,2052.7,2109.5,2046.1,2087.1,28341201.99,13579.22571
1701302400000,2023-11-30 0:00:00,ETH/USD,2028.2,2054.9,2021.5,2052,2512227.89,1224.282597
1701216000000,2023-11-29 0:00:00,ETH/USD,2045.8,2074.9,2018.3,2028.5,9039824.965,4456.408659
1701129600000,2023-11-28 0:00:00,ETH/USD,2027.3,2074.5,1996.5,2046,28139032.8,13753.19296
1701043200000,2023-11-27 0:00:00,ETH/USD,2062.5,2070.4,1987.6,2029.1,35257070.23,17375.71841
1700956800000,2023-11-26 0:00:00,ETH/USD,2083.3,2094.1,2036.8,2061.7,11592218.37,5622.650419
1700870400000,2023-11-25 0:00:00,ETH/USD,2080.9,2090,2065.4,2084.5,3848701.952,1846.342985
1700784000000,2023-11-24 0:00:00,ETH/USD,2061.6,2132.8,2059.9,2079.7,28847964.29,13871.21426
