unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1705881600000,2024-01-22 0:00:00,BTC/USD,41670,41755,41558,41648,1683398.703,40.41967689
1705795200000,2024-01-21 0:00:00,BTC/USD,41777,41946,41588,41679,51601472.6,1238.068874
1705708800000,2024-01-20 0:00:00,BTC/USD,41727,41944,41518,41778,63122949.01,1510.913615
1705622400000,2024-01-19 0:00:00,BTC/USD,41358,42212,40358,41715,64672839.11,1550.349733
1705536000000,2024-01-18 0:00:00,BTC/USD,42784,42932,40704,41337,57160182.56,1382.784976
1705449600000,2024-01-17 0:00:00,BTC/USD,43175,43215,42216,42778,34287598.59,801.5241151
1705363200000,2024-01-16 0:00:00,BTC/USD,42521,43588,42069,43163,30122760.56,697.8838487
1705276800000,2024-01-15 0:00:00,BTC/USD,41722,43369,41700,42520,39705642.44,933.8109698
1705190400000,2024-01-14 0:00:00,BTC/USD,42825,43075,41715,41731,45908439.89,1100.103997
1705104000000,2024-01-13 0:00:00,BTC/USD,42833,43250,42441,42847,44385829.64,1035.914525
1705017600000,2024-01-12 0:00:00,BTC/USD,46334,46508,41500,42809,161733471.3,3778.024979
1704931200000,2024-01-11 0:00:00,BTC/USD,46654,48750,45581,46333,251117497.4,5419.841093
1704844800000,2024-01-10 0:00:00,BTC/USD,46100,47582,44268,46653,235809277.5,5054.536204
1704758400000,2024-01-09 0:00:00,BTC/USD,46946,47857,44545,46113,178430799.9,3869.425105
1704672000000,2024-01-08 0:00:00,BTC/USD,43959,47224,43241,46946,179592359.9,3825.509307
1704585600000,2024-01-07 0:00:00,BTC/USD,44011,44500,43627,43959,25244258.63,574.2682644
1704499200000,2024-01-06 0:00:00,BTC/USD,44192,44263,43453,44018,32673617.37,742.2785536
1704412800000,2024-01-05 0:00:00,BTC/USD,44216,44449,42413,44191,83700034.25,1894.0516
1704326400000,2024-01-04 0:00:00,BTC/USD,42874,44810,42673,44224,81787334.99,1849.388002
1704240000000,2024-01-03 0:00:00,BTC/USD,45003,45559,40383,42869,179473482.1,4186.556301
1704153600000,2024-01-02 0:00:00,BTC/USD,44180,45920,44175,44994,139689302.4,3104.620668
1704067200000,2024-01-01 0:00:00,BTC/USD,42331,44190,42232,44175,51337717.28,1162.144138
1703980800000,2023-12-31 0:00:00,BTC/USD,42198,42939,42023,42326,27788378.35,656.5321162
1703894400000,2023-12-30 0:00:00,BTC/USD,42123,42665,41585,42199,28371976.46,672.3376492
1703808000000,2023-12-29 0:00:00,BTC/USD,42659,43175,41304,42139,68981579.06,1637.000856
1703721600000,2023-12-28 0:00:00,BTC/USD,43475,43793,42388,42617,46653435.52,1094.714211
1703635200000,2023-12-27 0:00:00,BTC/USD,42569,43666,42171,43479,44216145.15,1016.95405
1703548800000,2023-12-26 0:00:00,BTC/USD,43640,43649,41616,42568,84526586.56,1985.683766
1703462400000,2023-12-25 0:00:00,BTC/USD,43040,43881,42784,43641,36534202.53,837.1531938
1703376000000,2023-12-24 0:00:00,BTC/USD,43801,43978,42700,43043,32087873.66,745.4841359
1703289600000,2023-12-23 0:00:00,BTC/USD,44058,44068,43332,43801,28787265.22,657.228493
1703203200000,2023-12-22 0:00:00,BTC/USD,43890,44444,43480,44038,43718907.33,992.7541516
1703116800000,2023-12-21 0:00:00,BTC/USD,43697,44250,43362,43890,51265120.86,1168.036474
1703030400000,2023-12-20 0:00:00,BTC/USD,42309,44363,42244,43689,95057552.43,2175.777711
1702944000000,2023-12-19 0:00:00,BTC/USD,42684,43529,41850,42316,40521921.37,957.6028303
1702857600000,2023-12-18 0:00:00,BTC/USD,41410,42773,40508,42672,62172405.78,1456.983637
1702771200000,2023-12-17 0:00:00,BTC/USD,42321,42448,41286,41411,45929014.17,1109.101789
1702684800000,2023-12-16 0:00:00,BTC/USD,41976,42746,41693,42328,27540529.73,650.6456654
1702598400000,2023-12-15 0:00:00,BTC/USD,43061,43106,41723,41974,42463409.21,1011.659818
1702512000000,2023-12-14 0:00:00,BTC/USD,42902,43470,41475,43064,71747515.59,1666.067146
1702425600000,2023-12-13 0:00:00,BTC/USD,41518,43461,40666,42891,62398169.61,1454.807993
1702339200000,2023-12-12 0:00:00,BTC/USD,41286,42115,40695,41501,37461622.99,902.6679597
1702252800000,2023-12-11 0:00:00,BTC/USD,43818,43842,40198,41287,124044708.2,3004.44954
1702166400000,2023-12-10 0:00:00,BTC/USD,43745,44066,43623,43809,41014087.38,936.2023187
1702080000000,2023-12-09 0:00:00,BTC/USD,44178,44366,43623,43749,56216738.36,1284.983391
1701993600000,2023-12-08 0:00:00,BTC/USD,43284,44699,43086,44173,86676813.67,1962.212521
1701907200000,2023-12-07 0:00:00,BTC/USD,43809,44091,42862,43290,127080375,2935.559598
1701820800000,2023-12-06 0:00:00,BTC/USD,44113,44297,43444,43814,224570705.6,5125.546757
1701734400000,2023-12-05 0:00:00,BTC/USD,41905,44488,40849,44112,235210246,5332.114754
1701648000000,2023-12-04 0:00:00,BTC/USD,39959,42336,39959,41942,123884155.4,2953.70167
1701561600000,2023-12-03 0:00:00,BTC/USD,39431,40170,39253,39940,56264874.88,1408.734974
