unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1705881600000,2024-01-22 0:00:00,NEO/USD,11.724,11.743,11.624,11.624,1263.132945,108.665945
1705795200000,2024-01-21 0:00:00,NEO/USD,11.701,11.907,11.624,11.624,8469.440555,728.6167029
1705708800000,2024-01-20 0:00:00,NEO/USD,11.457,11.726,11.356,11.695,14238.81012,1217.512623
1705622400000,2024-01-19 0:00:00,NEO/USD,11.507,11.615,10.83,11.486,41605.85139,3622.30989
1705536000000,2024-01-18 0:00:00,NEO/USD,11.945,12.287,11.35,11.535,52202.07843,4525.537792
1705449600000,2024-01-17 0:00:00,NEO/USD,12.221,12.633,11.749,11.861,22256.39883,1876.435277
1705363200000,2024-01-16 0:00:00,NEO/USD,11.995,12.266,11.862,12.159,165041.3672,13573.5971
1705276800000,2024-01-15 0:00:00,NEO/USD,11.899,12.207,11.863,11.975,25199.16809,2104.314663
1705190400000,2024-01-14 0:00:00,NEO/USD,12.315,12.504,11.89,11.943,8536.549414,714.7742957
1705104000000,2024-01-13 0:00:00,NEO/USD,12.329,12.422,11.89,12.328,4800.77008,389.420026
1705017600000,2024-01-12 0:00:00,NEO/USD,13.093,13.28,11.993,12.331,110715.0241,8978.592501
1704931200000,2024-01-11 0:00:00,NEO/USD,12.503,13.128,12.257,12.949,122233.502,9439.609392
1704844800000,2024-01-10 0:00:00,NEO/USD,11.599,12.57,11.12,12.306,91677.70769,7449.838103
1704758400000,2024-01-09 0:00:00,NEO/USD,11.996,12.018,11.172,11.607,61490.40559,5297.700146
1704672000000,2024-01-08 0:00:00,NEO/USD,11.303,12.034,10.54,12.011,168659.7805,14042.10977
1704585600000,2024-01-07 0:00:00,NEO/USD,12.052,12.187,11.143,11.272,34426.26938,3054.140293
1704499200000,2024-01-06 0:00:00,NEO/USD,12.258,12.287,11.598,12.073,23058.55221,1909.927293
1704412800000,2024-01-05 0:00:00,NEO/USD,12.875,12.931,11.715,12.273,88426.69361,7204.977888
